NUMBER_OF_SALES;TOTAL_REVENUE;NUMBER_OF_UNIT_SOLD;PURCHASE_DATE;MONTH_ID;DAY_OF_WEEK;TIME_BUCKET;SPENDER_BUCKET;STORE_LOCATION;PRODUCT_CATEGORY;PRODUCT_DETAIL;PRODUCT_TYPE
2;24;8;2023/01/01;202301;Sun;MORNING;MEDUIM;Lower Manhattan;Coffee;Ethiopia Rg;Gourmet brewed coffee
4;37,2;12;2023/01/01;202301;Sun;MORNING;MEDUIM;Lower Manhattan;Tea;Spicy Eye Opener Chai Lg;Brewed Chai tea
2;27;6;2023/01/01;202301;Sun;MORNING;MEDUIM;Lower Manhattan;Drinking Chocolate;Dark chocolate Lg;Hot chocolate
2;8;4;2023/01/01;202301;Sun;MORNING;LOW;Lower Manhattan;Coffee;Our Old Time Diner Blend Sm;Drip coffee
3;18;6;2023/01/01;202301;Sun;MORNING;MEDUIM;Lower Manhattan;Bakery;Oatmeal Scone;Scone
1;8;4;2023/01/01;202301;Sun;MORNING;LOW;Lower Manhattan;Coffee;Columbian Medium Roast Sm;Gourmet brewed coffee
1;8,5;2;2023/01/01;202301;Sun;MORNING;LOW;Lower Manhattan;Coffee;Latte Rg;Barista Espresso
2;28;8;2023/01/01;202301;Sun;MORNING;MEDUIM;Lower Manhattan;Drinking Chocolate;Dark chocolate Rg;Hot chocolate
5;40,8;16;2023/01/01;202301;Sun;MORNING;MEDUIM;Lower Manhattan;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea
1;14;4;2023/01/01;202301;Sun;MORNING;MEDUIM;Lower Manhattan;Coffee;Ethiopia Lg;Gourmet brewed coffee
3;30;10;2023/01/01;202301;Sun;MORNING;MEDUIM;Lower Manhattan;Tea;Earl Grey Lg;Brewed Black tea
1;12;4;2023/01/01;202301;Sun;MORNING;MEDUIM;Lower Manhattan;Coffee;Ouro Brasileiro shot;Barista Espresso
2;15;4;2023/01/01;202301;Sun;MORNING;MEDUIM;Lower Manhattan;Bakery;Jumbo Savory Scone;Scone
1;5;2;2023/01/01;202301;Sun;MORNING;LOW;Hell's Kitchen;Tea;Lemon Grass Rg;Brewed herbal tea
1;9,5;2;2023/01/01;202301;Sun;MORNING;LOW;Hell's Kitchen;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate
1;10;4;2023/01/01;202301;Sun;MORNING;LOW;Lower Manhattan;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee
5;30;12;2023/01/01;202301;Sun;MORNING;MEDUIM;Hell's Kitchen;Tea;Morning Sunrise Chai Rg;Brewed Chai tea
3;20;8;2023/01/01;202301;Sun;MORNING;MEDUIM;Hell's Kitchen;Coffee;Our Old Time Diner Blend Rg;Drip coffee
2;24;8;2023/01/01;202301;Sun;MORNING;MEDUIM;Lower Manhattan;Coffee;Espresso shot;Barista Espresso
1;4;2;2023/01/01;202301;Sun;MORNING;LOW;Hell's Kitchen;Coffee;Our Old Time Diner Blend Sm;Drip coffee
2;30;8;2023/01/01;202301;Sun;MORNING;MEDUIM;Hell's Kitchen;Coffee;Jamaican Coffee River Lg;Premium brewed coffee
1;4;2;2023/01/01;202301;Sun;MORNING;LOW;Astoria;Coffee;Our Old Time Diner Blend Sm;Drip coffee
5;56;16;2023/01/01;202301;Sun;AFTERNOON;HIGH;Astoria;Drinking Chocolate;Dark chocolate Rg;Hot chocolate
2;18,6;6;2023/01/01;202301;Sun;MORNING;MEDUIM;Hell's Kitchen;Coffee;Jamaican Coffee River Rg;Premium brewed coffee
1;15;4;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Astoria;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate
1;5;2;2023/01/01;202301;Sun;MORNING;LOW;Lower Manhattan;Tea;English Breakfast Rg;Brewed Black tea
1;7;2;2023/01/01;202301;Sun;MORNING;LOW;Lower Manhattan;Bakery;Ginger Biscotti;Biscotti
2;24;8;2023/01/01;202301;Sun;MORNING;MEDUIM;Hell's Kitchen;Tea;Earl Grey Lg;Brewed Black tea
2;27;6;2023/01/01;202301;Sun;MORNING;MEDUIM;Hell's Kitchen;Drinking Chocolate;Dark chocolate Lg;Hot chocolate
1;9;2;2023/01/01;202301;Sun;MORNING;LOW;Hell's Kitchen;Bakery;Scottish Cream Scone ;Scone
1;6;2;2023/01/01;202301;Sun;AFTERNOON;LOW;Hell's Kitchen;Tea;Serenity Green Tea Lg;Brewed Green tea
2;15;4;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Hell's Kitchen;Coffee;Latte;Barista Espresso
1;14;4;2023/01/01;202301;Sun;MORNING;MEDUIM;Lower Manhattan;Coffee;Brazilian Lg;Organic brewed coffee
2;8;4;2023/01/01;202301;Sun;AFTERNOON;LOW;Astoria;Coffee;Our Old Time Diner Blend Sm;Drip coffee
1;7,5;2;2023/01/01;202301;Sun;MORNING;LOW;Hell's Kitchen;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate
1;6;2;2023/01/01;202301;Sun;MORNING;LOW;Astoria;Tea;Lemon Grass Lg;Brewed herbal tea
3;24;8;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Lower Manhattan;Tea;Lemon Grass Lg;Brewed herbal tea
2;12,4;4;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Astoria;Tea;Spicy Eye Opener Chai Lg;Brewed Chai tea
1;12;4;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Hell's Kitchen;Coffee;Ethiopia Rg;Gourmet brewed coffee
1;14;4;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Lower Manhattan;Coffee;Brazilian Lg;Organic brewed coffee
4;42;14;2023/01/01;202301;Sun;MORNING;MEDUIM;Lower Manhattan;Tea;Serenity Green Tea Lg;Brewed Green tea
1;4,9;2;2023/01/01;202301;Sun;MORNING;LOW;Lower Manhattan;Coffee;Jamaican Coffee River Sm;Premium brewed coffee
2;18;6;2023/01/01;202301;Sun;MORNING;MEDUIM;Hell's Kitchen;Coffee;Ethiopia Rg;Gourmet brewed coffee
1;14;4;2023/01/01;202301;Sun;MORNING;MEDUIM;Astoria;Coffee;Ethiopia Lg;Gourmet brewed coffee
2;14;4;2023/01/01;202301;Sun;MORNING;MEDUIM;Lower Manhattan;Bakery;Chocolate Chip Biscotti;Biscotti
2;15;4;2023/01/01;202301;Sun;MORNING;MEDUIM;Astoria;Bakery;Jumbo Savory Scone;Scone
3;30;10;2023/01/01;202301;Sun;MORNING;MEDUIM;Lower Manhattan;Tea;Lemon Grass Lg;Brewed herbal tea
1;6;2;2023/01/01;202301;Sun;MORNING;LOW;Lower Manhattan;Coffee;Our Old Time Diner Blend Lg;Drip coffee
2;18;4;2023/01/01;202301;Sun;MORNING;MEDUIM;Astoria;Drinking Chocolate;Dark chocolate Lg;Hot chocolate
1;5;2;2023/01/01;202301;Sun;MORNING;LOW;Astoria;Tea;Earl Grey Rg;Brewed Black tea
4;24;8;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Hell's Kitchen;Coffee;Our Old Time Diner Blend Lg;Drip coffee
1;5,1;2;2023/01/01;202301;Sun;AFTERNOON;LOW;Lower Manhattan;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea
2;19;4;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Astoria;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate
3;24;8;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Hell's Kitchen;Coffee;Brazilian Rg;Organic brewed coffee
3;25;10;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Astoria;Tea;Peppermint Rg;Brewed herbal tea
1;5;2;2023/01/01;202301;Sun;AFTERNOON;LOW;Lower Manhattan;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee
2;19;4;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Hell's Kitchen;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate
1;17;4;2023/01/01;202301;Sun;AFTERNOON;MEDUIM;Hell's Kitchen;Coffee;Latte Rg;Barista Espresso
