NUMBER_OF_SALES,TOTAL_REVENUE,NUMBER_OF_UNIT_SOLD,PURCHASE_DATE,MONTH_ID,DAY_OF_WEEK,STORE_LOCATION,PRODUCT_CATEGORY,PRODUCT_DETAIL,PRODUCT_TYPE
2,24.00,8,2023-01-01,202301,Sun,Lower Manhattan,Coffee,Ethiopia Rg,Gourmet brewed coffee
8,68.20,22,2023-01-01,202301,Sun,Lower Manhattan,Tea,Spicy Eye Opener Chai Lg,Brewed Chai tea
2,27.00,6,2023-01-01,202301,Sun,Lower Manhattan,Drinking Chocolate,Dark chocolate Lg,Hot chocolate
3,18.00,6,2023-01-01,202301,Sun,Lower Manhattan,Bakery,Oatmeal Scone,Scone
3,20.00,10,2023-01-01,202301,Sun,Lower Manhattan,Coffee,Columbian Medium Roast Sm,Gourmet brewed coffee
5,68.00,16,2023-01-01,202301,Sun,Lower Manhattan,Coffee,Latte Rg,Barista Espresso
2,28.00,8,2023-01-01,202301,Sun,Lower Manhattan,Drinking Chocolate,Dark chocolate Rg,Hot chocolate
7,51.00,20,2023-01-01,202301,Sun,Lower Manhattan,Tea,Spicy Eye Opener Chai Rg,Brewed Chai tea
2,28.00,8,2023-01-01,202301,Sun,Lower Manhattan,Coffee,Ethiopia Lg,Gourmet brewed coffee
2,15.00,4,2023-01-01,202301,Sun,Lower Manhattan,Bakery,Jumbo Savory Scone,Scone
2,27.00,6,2023-01-01,202301,Sun,Hell's Kitchen,Drinking Chocolate,Dark chocolate Lg,Hot chocolate
4,26.00,8,2023-01-01,202301,Sun,Lower Manhattan,Bakery,Hazelnut Biscotti,Biscotti
8,97.50,26,2023-01-01,202301,Sun,Hell's Kitchen,Coffee,Cappuccino,Barista Espresso
2,15.00,6,2023-01-01,202301,Sun,Lower Manhattan,Coffee,Columbian Medium Roast Rg,Gourmet brewed coffee
6,54.00,18,2023-01-01,202301,Sun,Hell's Kitchen,Tea,Peppermint Lg,Brewed herbal tea
4,24.50,10,2023-01-01,202301,Sun,Lower Manhattan,Coffee,Jamaican Coffee River Sm,Premium brewed coffee
3,30.00,10,2023-01-01,202301,Sun,Lower Manhattan,Coffee,Our Old Time Diner Blend Lg,Drip coffee
4,42.00,14,2023-01-01,202301,Sun,Lower Manhattan,Tea,Serenity Green Tea Lg,Brewed Green tea
